channel,cart_x,cart_y,cart_z,x,y
Fp1,-0.0293,0.0903,0.0368,-22.7802,70.1101
Fpz,0.0000,0.0949,0.0368,0.0000,73.7182
Fp2,0.0293,0.0903,0.0368,22.7802,70.1101
AF7,-0.0558,0.0768,0.0368,-43.3305,59.6393
AF3,-0.0386,0.0828,0.0663,-27.1064,58.1298
AFz,0.0000,0.0887,0.0742,0.0000,60.9395
AF4,0.0386,0.0828,0.0663,27.1064,58.1298
AF8,0.0558,0.0768,0.0368,43.3305,59.6393
F9,-0.0697,0.0506,0.0000,-65.9640,47.9256
F7,-0.0768,0.0558,0.0368,-59.6393,43.3305
F5,-0.0693,0.0602,0.0647,-48.8687,42.4809
F3,-0.0518,0.0639,0.0876,-34.3787,42.4542
Fz,0.0000,0.0683,0.1061,0.0000,43.5348
F4,0.0518,0.0639,0.0876,34.3787,42.4542
F6,0.0693,0.0602,0.0647,48.8687,42.4809
F8,0.0768,0.0558,0.0368,59.6393,43.3305
F10,0.0697,0.0506,0.0000,65.9640,47.9256
FT7,-0.0903,0.0293,0.0368,-70.1101,22.7802
FC5,-0.0843,0.0324,0.0695,-58.7095,22.5365
FC3,-0.0636,0.0413,0.0973,-41.3151,26.8303
FC1,-0.0356,0.0356,0.1207,-22.0296,22.0296
FC2,0.0356,0.0356,0.1207,22.0296,22.0296
FC4,0.0636,0.0413,0.0973,41.3151,26.8303
FC6,0.0843,0.0324,0.0695,58.7095,22.5365
FT8,0.0903,0.0293,0.0368,70.1101,22.7802
T7,-0.0949,-0.0000,0.0368,-73.7182,-0.0000
C5,-0.0887,-0.0000,0.0742,-60.9395,-0.0000
C3,-0.0683,-0.0000,0.1061,-43.5348,-0.0000
C1,-0.0371,-0.0000,0.1276,-22.6803,-0.0000
Cz,0.0000,0.0000,0.1351,0.0000,0.0000
C2,0.0371,0.0000,0.1276,22.6803,0.0000
C4,0.0683,0.0000,0.1061,43.5348,0.0000
C6,0.0887,0.0000,0.0742,60.9395,0.0000
T8,0.0949,0.0000,0.0368,73.7182,0.0000
TP9,-0.0819,-0.0266,0.0000,-77.5453,-25.1960
TP7,-0.0903,-0.0293,0.0368,-70.1101,-22.7802
CP5,-0.0843,-0.0324,0.0695,-58.7095,-22.5365
CP3,-0.0628,-0.0408,0.0986,-40.6467,-26.3963
CP1,-0.0356,-0.0356,0.1207,-22.0296,-22.0296
CPz,0.0000,-0.0371,0.1276,0.0000,-22.6803
CP2,0.0356,-0.0356,0.1207,22.0296,-22.0296
CP4,0.0628,-0.0408,0.0986,40.6467,-26.3963
CP6,0.0843,-0.0324,0.0695,58.7095,-22.5365
TP8,0.0903,-0.0293,0.0368,70.1101,-22.7802
TP10,0.0819,-0.0266,0.0000,77.5453,-25.1960
P7,-0.0768,-0.0558,0.0368,-59.6393,-43.3305
P5,-0.0693,-0.0602,0.0647,-48.8687,-42.4809
P3,-0.0518,-0.0639,0.0876,-34.3787,-42.4542
Pz,0.0000,-0.0683,0.1061,0.0000,-43.5348
P4,0.0518,-0.0639,0.0876,34.3787,-42.4542
P6,0.0693,-0.0602,0.0647,48.8687,-42.4809
P8,0.0768,-0.0558,0.0368,59.6393,-43.3305
PO9,-0.0506,-0.0697,0.0000,-47.9256,-65.9640
PO7,-0.0558,-0.0768,0.0368,-43.3305,-59.6393
PO3,-0.0386,-0.0828,0.0663,-27.1064,-58.1298
POz,0.0000,-0.0887,0.0742,0.0000,-60.9395
PO4,0.0386,-0.0828,0.0663,27.1064,-58.1298
PO8,0.0558,-0.0768,0.0368,43.3305,-59.6393
PO10,0.0506,-0.0697,0.0000,47.9256,-65.9640
O1,-0.0293,-0.0903,0.0368,-22.7802,-70.1101
Oz,0.0000,-0.0949,0.0368,0.0000,-73.7182
O2,0.0293,-0.0903,0.0368,22.7802,-70.1101
